City,Country,Date,Latitude,Longitude,Temperature,Wind Speed,Cloudiness,Humidity
Ushuaia,AR,4/18/2018 17:00,-54.81,-68.31,55.4,18.34,75,81
Boca do Acre,BR,4/18/2018 18:24,-8.76,-67.39,83.89,2.93,44,76
Chokurdakh,RU,4/18/2018 18:24,70.62,147.9,8.65,2.93,76,72
Dikson,RU,4/18/2018 18:24,73.51,80.55,2.35,21.83,20,86
Barrow,AR,4/18/2018 18:24,-38.31,-60.23,68.95,5.06,0,65
Lata,IN,4/18/2018 18:24,30.78,78.62,47.89,2.71,0,68
Saldanha,PT,4/18/2018 18:24,41.42,-6.55,73.27,8.3,0,34
Port Alfred,ZA,4/18/2018 18:24,-33.59,26.89,69.31,12.66,12,93
Los Llanos de Aridane,ES,4/18/2018 18:00,28.66,-17.92,69.8,14.99,20,68
Castro,CL,4/18/2018 18:24,-42.48,-73.76,56.35,7.63,92,97
Padang,ID,4/18/2018 18:24,-0.92,100.36,79.12,4.38,80,100
Jamestown,AU,4/18/2018 18:24,-33.21,138.6,55.54,8.63,36,75
Rikitea,PF,4/18/2018 18:24,-23.12,-134.97,80.02,11.99,24,100
Puerto Ayora,EC,4/18/2018 18:00,-0.74,-90.35,82.4,17.22,20,69
Katsuura,JP,4/18/2018 18:24,33.93,134.5,47.35,1.14,0,83
Athabasca,CA,4/18/2018 18:22,54.72,-113.29,41.59,9.86,0,85
Trincomalee,LK,4/18/2018 18:24,8.58,81.23,79.12,4.72,76,88
Ballina,IE,4/18/2018 17:30,54.11,-9.15,55.4,26.4,75,76
Bredasdorp,ZA,4/18/2018 18:00,-34.53,20.04,57.2,2.24,0,82
Busselton,AU,4/18/2018 18:24,-33.64,115.35,58.42,5.61,44,100
Iqaluit,CA,4/18/2018 18:00,63.75,-68.52,10.4,24.16,20,72
Mar del Plata,AR,4/18/2018 18:24,-46.43,-67.52,70.39,26.98,0,42
Petropavlovka,RU,4/18/2018 18:24,50.61,105.32,37.45,8.19,36,76
Lompoc,US,4/18/2018 17:56,34.64,-120.46,60.8,13.87,76,67
Bismarck,US,4/18/2018 17:52,46.81,-100.78,48.2,9.17,20,61
Vaini,IN,4/18/2018 18:24,15.34,74.49,76.51,3.6,56,79
Atuona,PF,4/18/2018 18:19,-9.8,-139.03,81.55,15.9,68,100
New Norfolk,AU,4/18/2018 18:00,-42.78,147.06,48.2,6.93,75,81
Ormara,PK,4/18/2018 18:24,25.21,64.64,80.11,12.77,12,88
Petropavlovsk-Kamchatskiy,RU,4/18/2018 17:00,53.05,158.65,30.2,6.71,8,80
Georgetown,GY,4/18/2018 17:00,6.8,-58.16,87.8,18.34,75,58
Skibbereen,IE,4/18/2018 17:30,51.55,-9.27,51.8,17.22,90,100
Alexandria,US,4/18/2018 18:15,31.31,-92.44,80.6,14.99,75,47
Khatanga,RU,4/18/2018 18:24,71.98,102.47,8.11,5.28,76,81
Poum,MK,4/18/2018 18:00,41.28,20.71,60.8,4.7,40,67
Salalah,OM,4/18/2018 16:50,17.01,54.1,84.2,2.24,0,70
Tasiilaq,GL,4/18/2018 17:50,65.61,-37.64,37.4,17.22,75,74
Butaritari,KI,4/18/2018 18:24,3.07,172.79,81.01,8.97,68,100
Nome,US,4/18/2018 17:55,30.04,-94.42,80.6,9.17,75,51
Port Blair,IN,4/18/2018 18:24,11.67,92.75,84.61,0.13,0,100
Hilo,US,4/18/2018 17:56,19.71,-155.08,73.4,3.36,20,83
Saquena,PE,4/18/2018 18:24,-4.67,-73.52,84.25,3.94,48,77
Hermanus,ZA,4/18/2018 18:24,-34.42,19.24,56.71,3.04,76,99
Kodiak,US,4/18/2018 16:53,39.95,-94.76,39.2,25.28,90,80
Mocuba,MZ,4/18/2018 18:24,-16.84,36.99,70.84,2.48,12,98
Aswan,EG,4/18/2018 17:00,24.09,32.9,96.8,8.05,0,7
Te Anau,NZ,4/18/2018 18:24,-45.41,167.72,45.91,10.76,92,91
Noumea,NC,4/18/2018 18:00,-22.28,166.46,68,3.36,0,82
Arraial do Cabo,BR,4/18/2018 18:00,-22.97,-42.02,82.4,6.93,40,54
Nikolskoye,RU,4/18/2018 17:30,59.7,30.79,42.8,11.18,0,81
Codrington,AU,4/18/2018 18:24,-28.95,153.24,59.86,3.15,8,93
Itoman,JP,4/18/2018 17:56,26.12,127.67,68,4.7,20,87
Ribeira Grande,PT,4/18/2018 18:00,38.52,-28.7,59,12.75,20,54
Yellowknife,CA,4/18/2018 18:00,62.45,-114.38,24.8,14.99,90,79
Reserva,BR,4/18/2018 18:24,-24.65,-50.85,75.97,2.93,0,59
Belmonte,PT,4/18/2018 18:24,40.36,-7.35,67.96,3.38,0,71
Nago,IT,4/18/2018 17:50,45.88,10.89,71.6,3.36,0,43
Paamiut,GL,4/18/2018 18:24,61.99,-49.67,31.6,19.82,76,100
Albany,US,4/18/2018 17:54,42.65,-73.75,44.6,13.87,90,52
Fortuna,ES,4/18/2018 18:00,38.18,-1.13,75.2,4.7,0,72
Vestmannaeyjar,IS,4/18/2018 17:10,63.44,-20.27,46.4,24.16,75,93
East London,ZA,4/18/2018 18:00,-33.02,27.91,64.4,16.11,0,88
Punta Arenas,CL,4/18/2018 17:00,-53.16,-70.91,51.8,14.99,40,71
Arlit,NE,4/18/2018 18:24,18.74,7.39,91.09,6.85,0,12
Oranjemund,ZA,4/18/2018 18:24,-28.55,16.43,62.74,3.15,24,99
